"Statistic Label","Month","Time Bands","UNIT","VALUE"
"Renewable electricity generation percentage","2020 March","13:30  <  14:00","%","53"
"Renewable electricity generation percentage","2020 March","14:00  <  14:30","%","53"
"Renewable electricity generation percentage","2020 March","14:30  <  15:00","%","53"
"Renewable electricity generation percentage","2020 March","15:00  <  15:30","%","52"
"Renewable electricity generation percentage","2020 March","15:30  <  16:00","%","51"
"Renewable electricity generation percentage","2020 March","16:00  <  16:30","%","50"
"Renewable electricity generation percentage","2020 March","16:30  <  17:00","%","48"
"Renewable electricity generation percentage","2020 March","17:00  <  17:30","%","46"
"Renewable electricity generation percentage","2020 March","17:30  <  18:00","%","45"
"Renewable electricity generation percentage","2020 March","18:00  <  18:30","%","44"
"Renewable electricity generation percentage","2020 March","18:30  <  19:00","%","43"
"Renewable electricity generation percentage","2020 March","19:00  <  19:30","%","43"
"Renewable electricity generation percentage","2020 March","19:30  <  20:00","%","44"
"Renewable electricity generation percentage","2020 March","20:00  <  20:30","%","45"
"Renewable electricity generation percentage","2020 March","20:30  <  21:00","%","46"
"Renewable electricity generation percentage","2020 March","21:00  <  21:30","%","47"
"Renewable electricity generation percentage","2020 March","21:30  <  22:00","%","49"
"Renewable electricity generation percentage","2020 March","22:00  <  22:30","%","51"
"Renewable electricity generation percentage","2020 March","22:30  <  23:00","%","51"
"Renewable electricity generation percentage","2020 March","23:00  <  23:30","%","52"
"Renewable electricity generation percentage","2020 March","23:30  <  00:00","%","52"
"Renewable electricity generation percentage","2020 April","00:00  <  00:30","%","32"
"Renewable electricity generation percentage","2020 April","00:30  <  01:00","%","33"
"Renewable electricity generation percentage","2020 April","01:00  <  01:30","%","33"
"Renewable electricity generation percentage","2020 April","01:30  <  02:00","%","33"
"Renewable electricity generation percentage","2020 April","02:00  <  02:30","%","34"
"Renewable electricity generation percentage","2020 April","02:30  <  03:00","%","35"
"Renewable electricity generation percentage","2020 April","03:00  <  03:30","%","35"
"Renewable electricity generation percentage","2020 April","03:30  <  04:00","%","35"
"Renewable electricity generation percentage","2020 April","04:00  <  04:30","%","33"
"Renewable electricity generation percentage","2020 April","04:30  <  05:00","%","32"
"Renewable electricity generation percentage","2020 April","05:00  <  05:30","%","30"
"Renewable electricity generation percentage","2020 April","05:30  <  06:00","%","30"
"Renewable electricity generation percentage","2020 April","06:00  <  06:30","%","30"
"Renewable electricity generation percentage","2020 April","06:30  <  07:00","%","30"
"Renewable electricity generation percentage","2020 April","07:00  <  07:30","%","29"
"Renewable electricity generation percentage","2020 April","07:30  <  08:00","%","28"
"Renewable electricity generation percentage","2020 April","08:00  <  08:30","%","27"
"Renewable electricity generation percentage","2020 April","08:30  <  09:00","%","28"
"Renewable electricity generation percentage","2020 April","09:00  <  09:30","%","28"
"Renewable electricity generation percentage","2020 April","09:30  <  10:00","%","29"
"Renewable electricity generation percentage","2020 April","10:00  <  10:30","%","30"
"Renewable electricity generation percentage","2020 April","10:30  <  11:00","%","30"
"Renewable electricity generation percentage","2020 April","11:00  <  11:30","%","30"
"Renewable electricity generation percentage","2020 April","11:30  <  12:00","%","30"
"Renewable electricity generation percentage","2020 April","12:00  <  12:30","%","31"
"Renewable electricity generation percentage","2020 April","12:30  <  13:00","%","32"
"Renewable electricity generation percentage","2020 April","13:00  <  13:30","%","33"
"Renewable electricity generation percentage","2020 April","13:30  <  14:00","%","34"
"Renewable electricity generation percentage","2020 April","14:00  <  14:30","%","35"
"Renewable electricity generation percentage","2020 April","14:30  <  15:00","%","35"
"Renewable electricity generation percentage","2020 April","15:00  <  15:30","%","34"
"Renewable electricity generation percentage","2020 April","15:30  <  16:00","%","32"
"Renewable electricity generation percentage","2020 April","16:00  <  16:30","%","30"
"Renewable electricity generation percentage","2020 April","16:30  <  17:00","%","29"
"Renewable electricity generation percentage","2020 April","17:00  <  17:30","%","29"
"Renewable electricity generation percentage","2020 April","17:30  <  18:00","%","28"
"Renewable electricity generation percentage","2020 April","18:00  <  18:30","%","27"
"Renewable electricity generation percentage","2020 April","18:30  <  19:00","%","27"
"Renewable electricity generation percentage","2020 April","19:00  <  19:30","%","26"
"Renewable electricity generation percentage","2020 April","19:30  <  20:00","%","26"
"Renewable electricity generation percentage","2020 April","20:00  <  20:30","%","27"
"Renewable electricity generation percentage","2020 April","20:30  <  21:00","%","28"
"Renewable electricity generation percentage","2020 April","21:00  <  21:30","%","29"
"Renewable electricity generation percentage","2020 April","21:30  <  22:00","%","30"
"Renewable electricity generation percentage","2020 April","22:00  <  22:30","%","31"
"Renewable electricity generation percentage","2020 April","22:30  <  23:00","%","31"
"Renewable electricity generation percentage","2020 April","23:00  <  23:30","%","32"
"Renewable electricity generation percentage","2020 April","23:30  <  00:00","%","33"
"Renewable electricity generation percentage","2020 May","00:00  <  00:30","%","37"
"Renewable electricity generation percentage","2020 May","00:30  <  01:00","%","38"
"Renewable electricity generation percentage","2020 May","01:00  <  01:30","%","38"
"Renewable electricity generation percentage","2020 May","01:30  <  02:00","%","38"
"Renewable electricity generation percentage","2020 May","02:00  <  02:30","%","38"
"Renewable electricity generation percentage","2020 May","02:30  <  03:00","%","38"
"Renewable electricity generation percentage","2020 May","03:00  <  03:30","%","37"
"Renewable electricity generation percentage","2020 May","03:30  <  04:00","%","36"
"Renewable electricity generation percentage","2020 May","04:00  <  04:30","%","36"
"Renewable electricity generation percentage","2020 May","04:30  <  05:00","%","35"
"Renewable electricity generation percentage","2020 May","05:00  <  05:30","%","34"
"Renewable electricity generation percentage","2020 May","05:30  <  06:00","%","33"
"Renewable electricity generation percentage","2020 May","06:00  <  06:30","%","34"
"Renewable electricity generation percentage","2020 May","06:30  <  07:00","%","32"
"Renewable electricity generation percentage","2020 May","07:00  <  07:30","%","31"
"Renewable electricity generation percentage","2020 May","07:30  <  08:00","%","31"
"Renewable electricity generation percentage","2020 May","08:00  <  08:30","%","31"
"Renewable electricity generation percentage","2020 May","08:30  <  09:00","%","32"
"Renewable electricity generation percentage","2020 May","09:00  <  09:30","%","32"
"Renewable electricity generation percentage","2020 May","09:30  <  10:00","%","33"
"Renewable electricity generation percentage","2020 May","10:00  <  10:30","%","34"
"Renewable electricity generation percentage","2020 May","10:30  <  11:00","%","34"
"Renewable electricity generation percentage","2020 May","11:00  <  11:30","%","34"
"Renewable electricity generation percentage","2020 May","11:30  <  12:00","%","35"
"Renewable electricity generation percentage","2020 May","12:00  <  12:30","%","36"
"Renewable electricity generation percentage","2020 May","12:30  <  13:00","%","38"
"Renewable electricity generation percentage","2020 May","13:00  <  13:30","%","40"
"Renewable electricity generation percentage","2020 May","13:30  <  14:00","%","40"
"Renewable electricity generation percentage","2020 May","14:00  <  14:30","%","40"
"Renewable electricity generation percentage","2020 May","14:30  <  15:00","%","40"
"Renewable electricity generation percentage","2020 May","15:00  <  15:30","%","39"
"Renewable electricity generation percentage","2020 May","15:30  <  16:00","%","37"
"Renewable electricity generation percentage","2020 May","16:00  <  16:30","%","37"
"Renewable electricity generation percentage","2020 May","16:30  <  17:00","%","35"
"Renewable electricity generation percentage","2020 May","17:00  <  17:30","%","35"
"Renewable electricity generation percentage","2020 May","17:30  <  18:00","%","35"
"Renewable electricity generation percentage","2020 May","18:00  <  18:30","%","34"
"Renewable electricity generation percentage","2020 May","18:30  <  19:00","%","34"
"Renewable electricity generation percentage","2020 May","19:00  <  19:30","%","33"
"Renewable electricity generation percentage","2020 May","19:30  <  20:00","%","33"
"Renewable electricity generation percentage","2020 May","20:00  <  20:30","%","33"
"Renewable electricity generation percentage","2020 May","20:30  <  21:00","%","34"
"Renewable electricity generation percentage","2020 May","21:00  <  21:30","%","34"
"Renewable electricity generation percentage","2020 May","21:30  <  22:00","%","35"
"Renewable electricity generation percentage","2020 May","22:00  <  22:30","%","36"
"Renewable electricity generation percentage","2020 May","22:30  <  23:00","%","36"
"Renewable electricity generation percentage","2020 May","23:00  <  23:30","%","36"
"Renewable electricity generation percentage","2020 May","23:30  <  00:00","%","37"
"Renewable electricity generation percentage","2020 June","00:00  <  00:30","%","34"
"Renewable electricity generation percentage","2020 June","00:30  <  01:00","%","34"
"Renewable electricity generation percentage","2020 June","01:00  <  01:30","%","34"
"Renewable electricity generation percentage","2020 June","01:30  <  02:00","%","35"
"Renewable electricity generation percentage","2020 June","02:00  <  02:30","%","34"
"Renewable electricity generation percentage","2020 June","02:30  <  03:00","%","34"
"Renewable electricity generation percentage","2020 June","03:00  <  03:30","%","33"
"Renewable electricity generation percentage","2020 June","03:30  <  04:00","%","34"
"Renewable electricity generation percentage","2020 June","04:00  <  04:30","%","33"
"Renewable electricity generation percentage","2020 June","04:30  <  05:00","%","32"
"Renewable electricity generation percentage","2020 June","05:00  <  05:30","%","31"
"Renewable electricity generation percentage","2020 June","05:30  <  06:00","%","31"
"Renewable electricity generation percentage","2020 June","06:00  <  06:30","%","32"
"Renewable electricity generation percentage","2020 June","06:30  <  07:00","%","31"
"Renewable electricity generation percentage","2020 June","07:00  <  07:30","%","31"
"Renewable electricity generation percentage","2020 June","07:30  <  08:00","%","31"
"Renewable electricity generation percentage","2020 June","08:00  <  08:30","%","31"
"Renewable electricity generation percentage","2020 June","08:30  <  09:00","%","31"
"Renewable electricity generation percentage","2020 June","09:00  <  09:30","%","31"
"Renewable electricity generation percentage","2020 June","09:30  <  10:00","%","31"
"Renewable electricity generation percentage","2020 June","10:00  <  10:30","%","31"
"Renewable electricity generation percentage","2020 June","10:30  <  11:00","%","31"
"Renewable electricity generation percentage","2020 June","11:00  <  11:30","%","32"
"Renewable electricity generation percentage","2020 June","11:30  <  12:00","%","32"
"Renewable electricity generation percentage","2020 June","12:00  <  12:30","%","33"
"Renewable electricity generation percentage","2020 June","12:30  <  13:00","%","34"
"Renewable electricity generation percentage","2020 June","13:00  <  13:30","%","35"
"Renewable electricity generation percentage","2020 June","13:30  <  14:00","%","36"
"Renewable electricity generation percentage","2020 June","14:00  <  14:30","%","36"
"Renewable electricity generation percentage","2020 June","14:30  <  15:00","%","36"
"Renewable electricity generation percentage","2020 June","15:00  <  15:30","%","37"
"Renewable electricity generation percentage","2020 June","15:30  <  16:00","%","36"
"Renewable electricity generation percentage","2020 June","16:00  <  16:30","%","36"
"Renewable electricity generation percentage","2020 June","16:30  <  17:00","%","36"
"Renewable electricity generation percentage","2020 June","17:00  <  17:30","%","36"
"Renewable electricity generation percentage","2020 June","17:30  <  18:00","%","36"
"Renewable electricity generation percentage","2020 June","18:00  <  18:30","%","36"
"Renewable electricity generation percentage","2020 June","18:30  <  19:00","%","36"
"Renewable electricity generation percentage","2020 June","19:00  <  19:30","%","35"
"Renewable electricity generation percentage","2020 June","19:30  <  20:00","%","35"
"Renewable electricity generation percentage","2020 June","20:00  <  20:30","%","33"
"Renewable electricity generation percentage","2020 June","20:30  <  21:00","%","33"
"Renewable electricity generation percentage","2020 June","21:00  <  21:30","%","32"
"Renewable electricity generation percentage","2020 June","21:30  <  22:00","%","32"
"Renewable electricity generation percentage","2020 June","22:00  <  22:30","%","33"
"Renewable electricity generation percentage","2020 June","22:30  <  23:00","%","33"
"Renewable electricity generation percentage","2020 June","23:00  <  23:30","%","33"
"Renewable electricity generation percentage","2020 June","23:30  <  00:00","%","33"
"Renewable electricity generation percentage","2020 July","00:00  <  00:30","%","39"
"Renewable electricity generation percentage","2020 July","00:30  <  01:00","%","39"
"Renewable electricity generation percentage","2020 July","01:00  <  01:30","%","39"
"Renewable electricity generation percentage","2020 July","01:30  <  02:00","%","40"
"Renewable electricity generation percentage","2020 July","02:00  <  02:30","%","39"
"Renewable electricity generation percentage","2020 July","02:30  <  03:00","%","39"
"Renewable electricity generation percentage","2020 July","03:00  <  03:30","%","38"
"Renewable electricity generation percentage","2020 July","03:30  <  04:00","%","37"
"Renewable electricity generation percentage","2020 July","04:00  <  04:30","%","36"
"Renewable electricity generation percentage","2020 July","04:30  <  05:00","%","36"
"Renewable electricity generation percentage","2020 July","05:00  <  05:30","%","34"
"Renewable electricity generation percentage","2020 July","05:30  <  06:00","%","33"
"Renewable electricity generation percentage","2020 July","06:00  <  06:30","%","32"
"Renewable electricity generation percentage","2020 July","06:30  <  07:00","%","30"
"Renewable electricity generation percentage","2020 July","07:00  <  07:30","%","30"
"Renewable electricity generation percentage","2020 July","07:30  <  08:00","%","29"
"Renewable electricity generation percentage","2020 July","08:00  <  08:30","%","29"
"Renewable electricity generation percentage","2020 July","08:30  <  09:00","%","29"
"Renewable electricity generation percentage","2020 July","09:00  <  09:30","%","29"
"Renewable electricity generation percentage","2020 July","09:30  <  10:00","%","30"
"Renewable electricity generation percentage","2020 July","10:00  <  10:30","%","30"
"Renewable electricity generation percentage","2020 July","10:30  <  11:00","%","31"
"Renewable electricity generation percentage","2020 July","11:00  <  11:30","%","31"
"Renewable electricity generation percentage","2020 July","11:30  <  12:00","%","32"
"Renewable electricity generation percentage","2020 July","12:00  <  12:30","%","32"
"Renewable electricity generation percentage","2020 July","12:30  <  13:00","%","34"
"Renewable electricity generation percentage","2020 July","13:00  <  13:30","%","35"
"Renewable electricity generation percentage","2020 July","13:30  <  14:00","%","35"
"Renewable electricity generation percentage","2020 July","14:00  <  14:30","%","36"
"Renewable electricity generation percentage","2020 July","14:30  <  15:00","%","37"
"Renewable electricity generation percentage","2020 July","15:00  <  15:30","%","37"
"Renewable electricity generation percentage","2020 July","15:30  <  16:00","%","36"
"Renewable electricity generation percentage","2020 July","16:00  <  16:30","%","36"
"Renewable electricity generation percentage","2020 July","16:30  <  17:00","%","35"
"Renewable electricity generation percentage","2020 July","17:00  <  17:30","%","36"
"Renewable electricity generation percentage","2020 July","17:30  <  18:00","%","36"
"Renewable electricity generation percentage","2020 July","18:00  <  18:30","%","36"
"Renewable electricity generation percentage","2020 July","18:30  <  19:00","%","35"
"Renewable electricity generation percentage","2020 July","19:00  <  19:30","%","34"
"Renewable electricity generation percentage","2020 July","19:30  <  20:00","%","34"
"Renewable electricity generation percentage","2020 July","20:00  <  20:30","%","34"
"Renewable electricity generation percentage","2020 July","20:30  <  21:00","%","34"
"Renewable electricity generation percentage","2020 July","21:00  <  21:30","%","34"
"Renewable electricity generation percentage","2020 July","21:30  <  22:00","%","35"
"Renewable electricity generation percentage","2020 July","22:00  <  22:30","%","37"
"Renewable electricity generation percentage","2020 July","22:30  <  23:00","%","38"
"Renewable electricity generation percentage","2020 July","23:00  <  23:30","%","39"
"Renewable electricity generation percentage","2020 July","23:30  <  00:00","%","39"
"Renewable electricity generation percentage","2020 August","00:00  <  00:30","%","31"
"Renewable electricity generation percentage","2020 August","00:30  <  01:00","%","32"
"Renewable electricity generation percentage","2020 August","01:00  <  01:30","%","32"
"Renewable electricity generation percentage","2020 August","01:30  <  02:00","%","33"
"Renewable electricity generation percentage","2020 August","02:00  <  02:30","%","32"
"Renewable electricity generation percentage","2020 August","02:30  <  03:00","%","32"
"Renewable electricity generation percentage","2020 August","03:00  <  03:30","%","32"
"Renewable electricity generation percentage","2020 August","03:30  <  04:00","%","32"
"Renewable electricity generation percentage","2020 August","04:00  <  04:30","%","31"
"Renewable electricity generation percentage","2020 August","04:30  <  05:00","%","31"
"Renewable electricity generation percentage","2020 August","05:00  <  05:30","%","30"
"Renewable electricity generation percentage","2020 August","05:30  <  06:00","%","30"
"Renewable electricity generation percentage","2020 August","06:00  <  06:30","%","30"
"Renewable electricity generation percentage","2020 August","06:30  <  07:00","%","29"
"Renewable electricity generation percentage","2020 August","07:00  <  07:30","%","28"
"Renewable electricity generation percentage","2020 August","07:30  <  08:00","%","27"
"Renewable electricity generation percentage","2020 August","08:00  <  08:30","%","27"
"Renewable electricity generation percentage","2020 August","08:30  <  09:00","%","27"
"Renewable electricity generation percentage","2020 August","09:00  <  09:30","%","27"
"Renewable electricity generation percentage","2020 August","09:30  <  10:00","%","28"
"Renewable electricity generation percentage","2020 August","10:00  <  10:30","%","28"
"Renewable electricity generation percentage","2020 August","10:30  <  11:00","%","29"
"Renewable electricity generation percentage","2020 August","11:00  <  11:30","%","30"
"Renewable electricity generation percentage","2020 August","11:30  <  12:00","%","31"
"Renewable electricity generation percentage","2020 August","12:00  <  12:30","%","31"
"Renewable electricity generation percentage","2020 August","12:30  <  13:00","%","32"
"Renewable electricity generation percentage","2020 August","13:00  <  13:30","%","33"
"Renewable electricity generation percentage","2020 August","13:30  <  14:00","%","33"
"Renewable electricity generation percentage","2020 August","14:00  <  14:30","%","33"
"Renewable electricity generation percentage","2020 August","14:30  <  15:00","%","33"
"Renewable electricity generation percentage","2020 August","15:00  <  15:30","%","33"
"Renewable electricity generation percentage","2020 August","15:30  <  16:00","%","31"
"Renewable electricity generation percentage","2020 August","16:00  <  16:30","%","30"
"Renewable electricity generation percentage","2020 August","16:30  <  17:00","%","30"
"Renewable electricity generation percentage","2020 August","17:00  <  17:30","%","30"
"Renewable electricity generation percentage","2020 August","17:30  <  18:00","%","29"
"Renewable electricity generation percentage","2020 August","18:00  <  18:30","%","29"
"Renewable electricity generation percentage","2020 August","18:30  <  19:00","%","28"
"Renewable electricity generation percentage","2020 August","19:00  <  19:30","%","28"
"Renewable electricity generation percentage","2020 August","19:30  <  20:00","%","28"
"Renewable electricity generation percentage","2020 August","20:00  <  20:30","%","28"
"Renewable electricity generation percentage","2020 August","20:30  <  21:00","%","29"
"Renewable electricity generation percentage","2020 August","21:00  <  21:30","%","29"
"Renewable electricity generation percentage","2020 August","21:30  <  22:00","%","30"
"Renewable electricity generation percentage","2020 August","22:00  <  22:30","%","31"
"Renewable electricity generation percentage","2020 August","22:30  <  23:00","%","32"
"Renewable electricity generation percentage","2020 August","23:00  <  23:30","%","31"
"Renewable electricity generation percentage","2020 August","23:30  <  00:00","%","32"
"Renewable electricity generation percentage","2020 September","00:00  <  00:30","%","40"
"Renewable electricity generation percentage","2020 September","00:30  <  01:00","%","40"
"Renewable electricity generation percentage","2020 September","01:00  <  01:30","%","40"
"Renewable electricity generation percentage","2020 September","01:30  <  02:00","%","40"
"Renewable electricity generation percentage","2020 September","02:00  <  02:30","%","41"
"Renewable electricity generation percentage","2020 September","02:30  <  03:00","%","40"
"Renewable electricity generation percentage","2020 September","03:00  <  03:30","%","40"
"Renewable electricity generation percentage","2020 September","03:30  <  04:00","%","40"
"Renewable electricity generation percentage","2020 September","04:00  <  04:30","%","38"
"Renewable electricity generation percentage","2020 September","04:30  <  05:00","%","37"
"Renewable electricity generation percentage","2020 September","05:00  <  05:30","%","36"
"Renewable electricity generation percentage","2020 September","05:30  <  06:00","%","35"
"Renewable electricity generation percentage","2020 September","06:00  <  06:30","%","34"
"Renewable electricity generation percentage","2020 September","06:30  <  07:00","%","33"
"Renewable electricity generation percentage","2020 September","07:00  <  07:30","%","32"
"Renewable electricity generation percentage","2020 September","07:30  <  08:00","%","32"
"Renewable electricity generation percentage","2020 September","08:00  <  08:30","%","31"
"Renewable electricity generation percentage","2020 September","08:30  <  09:00","%","31"
"Renewable electricity generation percentage","2020 September","09:00  <  09:30","%","31"
"Renewable electricity generation percentage","2020 September","09:30  <  10:00","%","32"
"Renewable electricity generation percentage","2020 September","10:00  <  10:30","%","33"
"Renewable electricity generation percentage","2020 September","10:30  <  11:00","%","34"
"Renewable electricity generation percentage","2020 September","11:00  <  11:30","%","34"
"Renewable electricity generation percentage","2020 September","11:30  <  12:00","%","35"
"Renewable electricity generation percentage","2020 September","12:00  <  12:30","%","36"
"Renewable electricity generation percentage","2020 September","12:30  <  13:00","%","37"
